form='Låg-'	lemma='låg'	Degree=Pos|Gender=Com	in_treebanks={'talbanken'}	Låg- och mellanstadiet
form='låg-'	lemma='låg'	Degree=Pos|Gender=Com	in_treebanks={'talbanken'}	Av låg- och mellanstadielärarna utbildades nämligen bara en tredjedel i fjol för det nya systemet via Deltaprojektet.
form='fri-'	lemma='fri'	Degree=Pos|Gender=Com	in_treebanks={'talbanken'}	Förhållandet mellan samhällets krav och individens fri- och rättigheter är en viktig del av det moderna äktenskapets problem
form='sexual-'	lemma='sexual'	Degree=Pos|Gender=Com	in_treebanks={'talbanken'}	Den är numera en ganska opraktisk nödvändighet, bottnande i vår trygghets avhängighet av vanor och konventioner, i våra föreställningar om familjen som garant för omtanken om barnen, för värme och samhörighet, ja t o m 'goda seder' och hög (sexual-) moral.
form='grå-'	lemma='grå'	Case=Nom|Definite=Ind|Degree=Pos|Number=Sing	in_treebanks={'lines_test'}	Han avfärdade dock tanken på vit skjorta, det skulle bli lite väl formellt, och valde i stället en grå- och rödrutig historia som passade till den grå slipsen.
form='s.k.'	lemma='såkallad'	Case=Nom	in_treebanks={'lines_test'}	I motsats till kommissionens förslag är det nödvändigt att bevara det nuvarande s.k. "artikel 43- förfarandet".
form='KÄRE'	lemma='kär'	Case=Nom|Definite=Def|Degree=Pos|Number=Sing	in_treebanks={'lines_dev'}	KÄRE MR POTTER
form='DÖVSTUM'	lemma='dövstum'	Case=Nom|Definite=Ind|Degree=Pos|Number=Sing	in_treebanks={'lines_dev'}	Fästad vid pennan satt en liten vit pappersflagga på vars ena sida det stod: Denna utmärkta vara får Du av en DÖVSTUM.
form='Glada'	lemma='glad'	Case=Nom|Degree=Pos|Number=Plur	in_treebanks={'talbanken'}	Glada över att ha fått ett jobb.
form='stadda'	lemma='städja'	Case=Nom|Degree=Pos|Number=Plur	in_treebanks={'talbanken'}	Barn, överbeskyddade av mamma som sett dem som sitt existensberättigande, och underbeskyddade av och kontaktoförmögna på ett normalt känslomässigt sätt med dessa främmande trötta kvällspappafåglar eller över lördagar och söndagar koncentrerat lekande och på utflykt stadda fäder.
form='ledda'	lemma='leda'	Case=Nom|Number=Plur|Tense=Past|VerbForm=Part	in_treebanks={'talbanken'}	Nationalisterna - ledda av Frankrike - vill få med Sverige för att hålla igen på EEC:s överstatlighet.
form='ansedda'	lemma='anse'	Case=Nom|Definite=Def	in_treebanks={'lines_test'}	Far hade hört talas om att Cunard, det mest framstående och ansedda rederiet i Storbritannien, skulle köpas upp av Trafalgar House Investments.
form='försedda'	lemma='förse'	Case=Nom|Number=Plur|Tense=Past|VerbForm=Part	in_treebanks={'talbanken'}	Men också när postsorteringen sker manuellt, underlättas den om försändelserna är försedda med postnummer.
form='avsedda'	lemma='avse'	Case=Nom|Number=Plur|Tense=Past|VerbForm=Part	in_treebanks={'talbanken'}	Paket med vanlig befordran transporteras med postlägenheter som är avsedda för den tyngre och utrymmeskrävande posten.
