rule,expression,fixed,extpos
ABBR,a. a.,No,"amod(ABR2, ABR1)"
ABBR,fil lic,No,"amod(ABR2, ABR1)"
ABBR,med lic,No,"amod(ABR2, ABR1)"
ABBR_s_ff,s. ff,No,"nmod(X, ABR1), amod(X, ABR2)"
AD_CALENDAS_GRAECA,ad calendas graecas,No,"case(calendas, ad), amod(calendas, graecas)"
ADV_ADV_1,där inne,No,"advmod(ADV1, ADV2)"
ADV_ADV_1,här inne,No,"advmod(ADV1, ADV2)"
ADV_ADV_1,hur pass,No,"advmod(ADV1, ADV2)"
ADV_ADV_1,lustigt nog,No,"advmod(ADV1, ADV2)"
ADV_ADV_1,nära nog,No,"advmod(ADV1, ADV2)"
ADV_ADV_2,allt fortfarande,No,"advmod(ADV2, ADV1)"
ADV_ADV_2,allt mer,No,"advmod(ADV2, ADV1)"
ADV_ADV_2,allt mera,No,"advmod(ADV2, ADV1)"
ADV_ADV_2,ända fram,No,"advmod(ADV2, ADV1)"
ADV_ADV_2,fullt ut,No,"advmod(ADV2, ADV1)"
ADV_ADV_2,helt enkelt,No,"advmod(ADV2, ADV1)"
ADV_ADV_2,mycket väl,No,"advmod(ADV2, ADV1)"
ADV_ADV_ADV_1,än så länge,No,"advmod(ADV3, ADV1), advmod(ADV3, ADV2), advmod(X, ADV3)"
ADV_ADV_ADV_1,ännu så länge,No,"advmod(ADV3, ADV1), advmod(ADV3, ADV2), advmod(X, ADV3)"
ADV_P,långt ifrån,No,"advmod(X, ADV), case(X, P)"
ADV_P,in i,No,"advmod(X, ADV), case(X, P)"
ADV_P,upp till,No,"advmod(X, ADV), case(X, P)"
ADV_P_ADV,undan för undan,No,"obl(ADV1, ADV2), case(ADV2, P)"
ADV_P_att,samtidigt med att,No,"advcl(samtidigt, Y), mark(Y, med), mark(Y, att)"
ADV_P_NN,förr i världen,No,"obl(ADV, NN), case(NN, P)"
ADV_P_NN,minst av allt,No,"obl(ADV, NN), case(NN, P)"
ADV_PR,just det,No,"advmod(PR, ADV)"
ADV_JJ_än,allt annat än,No,"advmod(JJ, ADV), case(X, än), nmod/amod(JJ, X)"
ADV_SC,ända tills,No,"advmod(X, ADV), mark(X, SC)"
ADV_SC,även om,No,"advmod(X, ADV), mark(X, SC)"
ADV_SC,samtidigt som,No,"advmod(X, ADV), mark(X, som)"
ADV_VB,mer obundet,No,"advmod(VB, ADV), advcl(X, VB)"
ADV_VB,överhuvud taget,No,"advmod(VB, ADV), advcl(X, VB)"
ADV_VB,praktiskt taget,No,"advmod(VB, ADV), advcl(X, VB)"
ADV_VB,rättare sagt,No,"advmod(VB, ADV), advcl(X, VB)"
ADV_VB,relativt sett,No,"advmod(VB, ADV), advcl(X, VB)"
ADV_VB,strängt taget,No,"advmod(VB, ADV), advcl(X, VB)"
ADV_VB,totalt sett,No,"advmod(VB, ADV), advcl(X, VB)"
ALLTEFTER,allt efter,No,"advmod(efter, allt), case(X, efter)"
ALLTEFTERSOM_1,allt efter som,No,"advmod(efter, allt), goeswith(efter, som), mark(X, efter)"
ALLTEFTERSOM_2,allt eftersom,No,"advmod(eftersom, allt), mark(X, eftersom)"
ALLTEFTERSOM_3,alltefter som,No,"advmod(som, alltefter), mark(X, som)"
ÄNNU_EN_NN,än en gång,No,"advmod(NN, ADV), det(NN, DET), obl(X, NN)"
CASE,för alltid,No,"case(ADV, P)"
CASE,till rätta,No,"case(ADV, P)"
CASE,till sist,No,"case(ADV, P)"
CASE,utan vidare,No,"case(ADV, P)"
CASE,i fatt,No,"case(fatt, i)"
CASE,inom kort,No,"case(JJ, P)"
CASE,med mera,No,"case(JJ, P)"
CASE,med mindre,No,"case(JJ, P)"
CASE,bland andra,No,"case(JJ, P)"
CASE,av principerna,No,"case(NN, P)"
CASE,bland annat,No,"case(NN, P)"
CASE,efter ämnet,No,"case(NN, P)"
CASE,efter hand,No,"case(NN, P)"
CASE,för handlingen,No,"case(NN, P)"
CASE,för närvarande,No,"case(NN, P)"
CASE,för sed,No,"case(NN, P)"
CASE,i allmänhet,No,"case(NN, P)"
CASE,i dagsläget,No,"case(NN, P)"
CASE,i drift,No,"case(NN, P)"
CASE,i följd,No,"case(NN, P)"
CASE,i förgrunden,No,"case(NN, P)"
CASE,i fortsättningen,No,"case(NN, P)"
CASE,i fråga,No,"case(NN, P)"
CASE,i funktion,No,"case(NN, P)"
CASE,i gång,No,"case(NN, P)"
CASE,i grunden,No,"case(NN, P)"
CASE,i hög,No,"case(NN, P)"
CASE,i huvudsak,No,"case(NN, P)"
CASE,i jämförelse,No,"case(NN, P)"
CASE,i kläm,No,"case(NN, P)"
CASE,i konflikt,No,"case(NN, P)"
CASE,i kontakt,No,"case(NN, P)"
CASE,i kraft,No,"case(NN, P)"
CASE,i längden,No,"case(NN, P)"
CASE,i livet,No,"case(NN, P)"
CASE,i norr,No,"case(NN, P)"
CASE,i onödan,No,"case(NN, P)"
CASE,i ordning,No,"case(NN, P)"
CASE,i pedagogik,No,"case(NN, P)"
CASE,i princip,No,"case(NN, P)"
CASE,i regel,No,"case(NN, P)"
CASE,i sak,No,"case(NN, P)"
CASE,i säng,No,"case(NN, P)"
CASE,i skuggan,No,"case(NN, P)"
CASE,i söder,No,"case(NN, P)"
CASE,i stället,No,"case(NN, P)"
CASE,i stånd,No,"case(NN, P)"
CASE,i stycken,No,"case(NN, P)"
CASE,i synnerhet,No,"case(NN, P)"
CASE,i taget,No,"case(NN, P)"
